Wavenumber(cm^-1),2.0MLs101,2.0MLp101,2.0MLs010,2.0MLp010
1619.99412,5.756E-7,3.3352E-6,1.5083E-6,1.2664E-6
1621.92269,8.917E-7,2.038E-6,2.4423E-6,3.2137E-6
1623.85125,6.618E-7,1.1953E-6,2.6939E-6,3.839E-6
1625.77981,-2.85E-8,7.952E-7,2.4001E-6,4.514E-6
1627.70838,-8.413E-7,1.1874E-6,2.1888E-6,3.963E-6
1629.63694,-1.698E-6,5.548E-7,1.8493E-6,2.3689E-6
1631.56551,-1.6674E-6,-1.7237E-6,1.2138E-6,1.0538E-6
1633.49407,-2.007E-7,-3.3895E-6,7.283E-7,-6.382E-7
1635.42264,1.3689E-6,-3.4119E-6,7.226E-7,-2.2943E-6
1637.3512,1.438E-6,-2.1825E-6,9.762E-7,-2.4926E-6
1639.27976,1.58E-7,-1.001E-7,1.1056E-6,-1.5382E-6
1641.20833,-1.1308E-6,1.4623E-6,9.35E-7,-3.271E-7
1643.13689,-1.3348E-6,2.1568E-6,3.238E-7,1.0131E-6
1645.06546,-6.349E-7,2.4359E-6,-5.996E-7,1.4309E-6
1646.99402,-4.673E-7,1.9687E-6,-1.3073E-6,2.447E-7
1648.92259,-5.948E-7,2.0528E-6,-1.0167E-6,-8.697E-7
1650.85115,3.384E-7,4.0429E-6,1.322E-7,-1.3138E-6
1652.77972,8.026E-7,5.0835E-6,3.742E-7,-1.9826E-6
1654.70828,-7.861E-7,2.2055E-6,-5.829E-7,-2.1316E-6
1656.63684,-2.5967E-6,-2.351E-6,-1.0254E-6,-1.5205E-6
1658.56541,-3.0235E-6,-4.5091E-6,-9.166E-7,-1.4122E-6
1660.49397,-2.2659E-6,-3.2024E-6,-1.2111E-6,-1.9276E-6
1662.42254,-1.3983E-6,-1.1874E-6,-1.5632E-6,-1.7607E-6
1664.3511,-1.3222E-6,-1.5282E-6,-1.5517E-6,-6.243E-7
1666.27967,-1.4196E-6,-2.9761E-6,-1.2194E-6,6.68E-7
1668.20823,-1.3761E-6,-2.6071E-6,-6.138E-7,2.1649E-6
1670.1368,-1.7515E-6,-1.3991E-6,4.53E-8,3.2321E-6
1672.06536,-2.1279E-6,-1.7823E-6,3.807E-7,2.0579E-6
1673.99392,-1.8092E-6,-2.4586E-6,1.021E-7,-3.365E-7
1675.92249,-1.3243E-6,-1.7981E-6,-3.285E-7,-1.2497E-6
1677.85105,-1.166E-6,-1.2603E-6,-4.78E-8,-8.27E-7
1679.77962,-7.161E-7,-1.6397E-6,8.418E-7,-2.527E-7
